abandonnée	abandonner
abandonnée	abandonner
accompagnée	accompagner
accompagné	accompagner
accompagné	accompagner
accompagnée	accompagner
accompagné	accompagner
accosté	accoster
accouchant	accoucher
accouchée	accoucher
accroupie	accroupir
accroupi	accroupir
accroupie	accroupir
accroupie	accroupir
accroupi	accroupir
accroupi	accroupir
accroupis	accroupir
accroupie	accroupir
accroupi	accroupir
accroupi	accroupir
accroupi	accroupir
accroupie	accroupir
accroupie	accroupir
accroupie	accroupir
accroupie	accroupir
accroupie	accroupir
accroupie	accroupir
accroupie	accroupir
accueillant	accueillir
acharné	acharner
achevant	achever
admirant	admirer
admire	admirer
admire	admirer
adorant	adorer
affligé	affliger
affrontés	affronter
agace	agacer
agenouillé	agenouiller
agenouillé	agenouiller
agenouillé	agenouiller
agenouillé	agenouiller
agenouillé	agenouiller
agenouillé	agenouiller
allaitant	allaiter
allaitant	allaiter
allaitant	allaiter
allaitant	allaiter
allant	aller
allant	aller
allant	aller
vont	aller
va	aller
va	aller
va	aller
allant	aller
allumer	allumer
amené	amener
amenant	amener
animant	animer
appelé	appeler
apportant	apporter
apportant	apporter
apportant	apporter
apportant	apporter
apporte	apporter
apporte	apporter
apporte	apporter
apprétant	appréter
apprêtant	apprêter
apprêtant	apprêter
apprêtant	apprêter
apprêtant	apprêter
apprêtant	apprêter
approche	approcher
appuyé	appuyer
appuyé	appuyer
appuyé	appuyer
appuyé	appuyer
appuyé	appuyer
appuyé	appuyer
appuyé	appuyer
appuyé	appuyer
appuyé	appuyer
appuyé	appuyer
appuyée	appuyer
appuyé	appuyer
armant	armer
armé	armer
armé	armer
armé	armer
armé	armer
armé	armer
armé	armer
armer	armer
armant	armer
armant	armer
armé	armer
armé	armer
armé	armer
armés	armer
arraché	arracher
arrivant	arriver
arrivant	arriver
arrivent	arriver
assailli	assaillir
assailli	assaillir
assemblant	assembler
assise	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assise	asseoir
assise	asseoir
assis	asseoir
assise	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assise	asseoir
assise	asseoir
assise	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assise	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assise	asseoir
